# Simulated random data file for batch processing
# timestamp: 2022-04-06 14:56:45
# LEB
# ------------------------

"var_x","var_y"
NA,0.0284375103656203
0.985611565643921,0.0080827169585973
0.352256139973179,NA
0.441236820537597,NA
0.274611842352897,0.190531304106116
NA,NA
NA,NA
0.953498874092475,0.867891491390765
0.654357898747548,0.986394655890763
0.737256319494918,0.610726311104372
0.37014247989282,0.431826055515558
0.254255421925336,0.0230796593241394
NA,0.377035772893578
0.749308250844479,0.730338615132496
0.344552980968729,NA
0.0288674535695463,0.529911710182205
0.334505636477843,0.838856441434473
0.80859860451892,0.33030487364158
0.142743363743648,0.991344394395128
0.235126735642552,0.938013666542247
0.702366559300572,0.220221419353038
NA,0.265474245883524
0.15471473778598,NA
NA,0.220414040377364
0.998659651260823,0.655343324644491
0.220069011440501,0.595703706610948
0.512641061097383,0.0763114443980157
0.287979310145602,0.149576862575486
0.671989879803732,0.938081744592637
0.157165653305128,0.391425262670964
